"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
5,0.259083893991451,0.420013798105177,0.766453980128214,1.09264200384346,0.0250248725512698,0.119781958936124,2.99143226681336,2.69876492988933,28.4001756373662,40.4867423517419,FALSE,FALSE,"US-Var","monthly","VPD",5,"months","2000-11-01","2021-10-01",252,247,235,"2021-10-01","2001-05-01"
6,0.28496902317276,0.420013798105177,0.809209250044574,1.09264200384346,0.0926302065184021,0.119781958936124,2.98929412693754,2.65017381269077,30.5341953863384,41.2290695278617,FALSE,FALSE,"US-Var","monthly","VPD",6,"months","2000-11-01","2021-10-01",252,247,234,"2021-10-01","2001-08-01"
7,0.280757246566754,0.420013798105177,0.718664323294266,1.09264200384346,-0.0731070781795634,0.119781958936124,2.983219150773,2.66864484548637,26.9299350383691,40.9437024072914,FALSE,FALSE,"US-Var","monthly","VPD",7,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-09-01"
8,0.319034280294372,0.420013798105177,0.82163526572134,1.09264200384346,-0.0800146875663367,0.119781958936124,2.99065062390685,2.66209458814293,30.8642401130649,41.0444470572207,FALSE,FALSE,"US-Var","monthly","VPD",8,"months","2000-11-01","2021-10-01",252,247,233,"2021-10-01","2001-08-01"
9,0.308496495766148,0.420013798105177,0.770937497564602,1.09264200384346,-0.0267780790559965,0.119781958936124,2.99791736770667,2.65931652254504,28.9900615826955,41.0873243023277,FALSE,FALSE,"US-Var","monthly","VPD",9,"months","2000-11-01","2021-10-01",252,247,232,"2021-10-01","2001-09-01"
10,0.253511052425371,0.420013798105177,0.756536273709187,1.09264200384346,0.130233671576891,0.119781958936124,3.00088159175654,2.66744818008244,28.3617983418821,40.9620704912697,FALSE,FALSE,"US-Var","monthly","VPD",10,"months","2000-11-01","2021-10-01",252,247,231,"2021-10-01","2001-10-01"
11,0.330222858523402,0.420013798105177,0.742137592194872,1.09264200384346,-0.105946646620822,0.119781958936124,2.99991426535888,2.66006729206238,27.8992036934331,41.0757279375562,FALSE,FALSE,"US-Var","monthly","VPD",11,"months","2000-11-01","2021-10-01",252,247,230,"2021-10-01","2001-11-01"
12,0.307383908357295,0.420013798105177,0.699899532957406,1.09264200384346,-0.167622663626795,0.119781958936124,3.00223989675504,2.67428396972952,26.171473967598,40.8573665403967,FALSE,FALSE,"US-Var","monthly","VPD",12,"months","2000-11-01","2021-10-01",252,247,229,"2021-10-01","2001-12-01"
13,0.286801068505208,0.420013798105177,0.760078527900296,1.09264200384346,0.0236539032425083,0.119781958936124,3.17215589838823,2.66591559642214,28.510974950609,40.9856187986547,FALSE,FALSE,"US-Var","monthly","VPD",13,"months","2000-11-01","2021-10-01",252,247,228,"2021-10-01","2002-01-01"
14,0.314033802735116,0.420013798105177,0.797732961136987,1.09264200384346,0.0807042216869255,0.119781958936124,3.1569759006302,2.66869352758191,29.8922657432233,40.9429555155214,FALSE,FALSE,"US-Var","monthly","VPD",14,"months","2000-11-01","2021-10-01",252,247,227,"2021-10-01","2002-02-01"
15,0.306664564848623,0.420013798105177,0.872153456055753,1.09264200384346,-0.0505197673784571,0.119781958936124,3.14550054508949,2.78766974124366,31.2861112330566,39.195532658614,FALSE,FALSE,"US-Var","monthly","VPD",15,"months","2000-11-01","2021-10-01",252,247,226,"2021-10-01","2002-03-01"
16,0.329247821781504,0.420013798105177,0.859633874349832,1.09264200384346,-0.128815577602443,0.119781958936124,3.14883803008182,2.76404027538901,31.100627657419,39.5306108081108,FALSE,FALSE,"US-Var","monthly","VPD",16,"months","2000-11-01","2021-10-01",252,247,225,"2021-10-01","2002-04-01"
17,0.268139453595866,0.420013798105177,0.826842303177717,1.09264200384346,-0.0321827340288059,0.119781958936124,3.13535723041005,2.68204787546532,30.8287674780699,40.7390939527467,FALSE,FALSE,"US-Var","monthly","VPD",17,"months","2000-11-01","2021-10-01",252,247,224,"2021-10-01","2002-05-01"
18,0.371735352717359,0.420013798105177,0.867182590512726,1.09264200384346,-0.0364683001866395,0.119781958936124,3.14662047996471,2.68230865928088,32.3297092417848,40.7351331496799,FALSE,FALSE,"US-Var","monthly","VPD",18,"months","2000-11-01","2021-10-01",252,247,223,"2021-10-01","2002-06-01"
19,0.319953393165343,0.420013798105177,0.774184155911102,1.09264200384346,0.0478804626929805,0.119781958936124,3.1526425622006,2.69343321048575,28.7433953400864,40.5668868858421,FALSE,FALSE,"US-Var","monthly","VPD",19,"months","2000-11-01","2021-10-01",252,247,222,"2021-10-01","2002-07-01"
20,0.299598241587625,0.420013798105177,0.853791751253736,1.09264200384346,-0.00146008813767047,0.119781958936124,3.15037205729851,2.69466029816114,31.6845782689703,40.548413638227,FALSE,FALSE,"US-Var","monthly","VPD",20,"months","2000-11-01","2021-10-01",252,247,221,"2021-10-01","2002-08-01"
21,0.310740666311825,0.420013798105177,0.847039674469297,1.09264200384346,0.0425389739064783,0.119781958936124,3.15481787095132,2.68986241583278,31.4900743429679,40.6207394628092,FALSE,FALSE,"US-Var","monthly","VPD",21,"months","2000-11-01","2021-10-01",252,247,220,"2021-10-01","2002-09-01"
22,0.366400624225359,0.420013798105177,0.825409623788105,1.09264200384346,0.147070560275002,0.119781958936124,3.16350327359393,2.70257954222135,30.5415478395011,40.4295964937771,FALSE,FALSE,"US-Var","monthly","VPD",22,"months","2000-11-01","2021-10-01",252,247,219,"2021-10-01","2002-10-01"
23,0.335769731495333,0.420013798105177,0.801720351981622,1.09264200384346,0.0846230867104759,0.119781958936124,3.17188076417445,2.69053222674899,29.7978349417637,40.6106268856597,FALSE,FALSE,"US-Var","monthly","VPD",23,"months","2000-11-01","2021-10-01",252,247,218,"2021-10-01","2002-11-01"
24,0.364213118071655,0.420013798105177,0.791594499871951,1.09264200384346,0.012573726733523,0.119781958936124,3.17440064587131,2.68475208136133,29.484826750579,40.6980596617855,FALSE,FALSE,"US-Var","monthly","VPD",24,"months","2000-11-01","2021-10-01",252,247,217,"2021-10-01","2002-12-01"
25,0.29304833844773,0.420013798105177,0.773014599335279,1.09264200384346,0.116055417821548,0.119781958936124,3.16976534675452,2.70645190498389,28.5619189430924,40.3717502546924,FALSE,FALSE,"US-Var","monthly","VPD",25,"months","2000-11-01","2021-10-01",252,247,216,"2021-10-01","2003-01-01"
26,0.375391285343717,0.420013798105177,0.823068867225854,1.09264200384346,0.200191302513169,0.119781958936124,3.17457044054037,2.69194008927756,30.5753040531724,40.5893878617743,FALSE,FALSE,"US-Var","monthly","VPD",26,"months","2000-11-01","2021-10-01",252,247,215,"2021-10-01","2003-02-01"
27,0.278752178912696,0.420013798105177,0.697945210341178,1.09264200384346,0.0895518334757295,0.119781958936124,3.18374541242638,2.69696504911998,25.878911948411,40.5137620971392,FALSE,FALSE,"US-Var","monthly","VPD",27,"months","2000-11-01","2021-10-01",252,247,214,"2021-10-01","2003-03-01"
28,0.354560156368482,0.420013798105177,0.805426597885242,1.09264200384346,-0.0493820471282224,0.119781958936124,3.1632812421488,2.67918249969141,30.0624014220013,40.7826642630471,FALSE,FALSE,"US-Var","monthly","VPD",28,"months","2000-11-01","2021-10-01",252,247,213,"2021-10-01","2003-04-01"
