"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
20,0.00292955416300877,0.000506641900064111,0.00527168850099979,0.0030283601782142,0.00639192657400652,0.00368796863931735,1.94995596965989,1.2363262548997,0.426399462124782,0.24494830278112,TRUE,TRUE,"US-Var","hourly","VPD",20,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178863,"2021-10-26 05:00:00","2000-10-29 23:00:00"
21,0.00417078484500033,0.000506641900064111,0.00618081312947982,0.0030283601782142,-0.0026363570337538,0.00368796863931735,1.94950364638906,1.23593543294579,0.500091911334573,0.245025759233738,TRUE,TRUE,"US-Var","hourly","VPD",21,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178901,"2021-10-26 05:00:00","2000-10-30"
22,0.00505580038035802,0.000506641900064111,0.00667427294219625,0.0030283601782142,-0.0136660666854046,0.00368796863931735,1.94923202496874,1.23538741282037,0.540257483031899,0.245134453110583,TRUE,TRUE,"US-Var","hourly","VPD",22,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178952,"2021-10-26 05:00:00","2000-10-30 01:00:00"
23,0.00621221798970639,0.000506641900064111,0.00803433022241951,0.0030283601782142,-0.0332781507032949,0.00368796863931735,1.94893198857357,1.23489888190076,0.650606324143161,0.245231429277266,TRUE,TRUE,"US-Var","hourly","VPD",23,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179014,"2021-10-26 05:00:00","2000-10-30 02:00:00"
24,0.0062410451561421,0.000506641900064111,0.00806860851320312,0.0030283601782142,-0.0422552588544443,0.00368796863931735,1.9492695828037,1.23423401589967,0.653734090072186,0.245363532296323,TRUE,TRUE,"US-Var","hourly","VPD",24,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179050,"2021-10-26 05:00:00","2000-10-30 03:00:00"
25,0.00232412218314115,0.000506641900064111,0.00461059976040179,0.0030283601782142,0.00553869773844331,0.00368796863931735,1.94995139742571,1.234051002707,0.373615008641299,0.245399920389937,TRUE,TRUE,"US-Var","hourly","VPD",25,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,179029,"2021-10-26 05:00:00","2000-10-30 04:00:00"
26,0.00141129298939147,0.000506641900064111,0.00439669546366428,0.0030283601782142,0.00360404885247876,0.00368796863931735,1.95065746783717,1.23446168117839,0.356162976194392,0.245318281189854,TRUE,TRUE,"US-Var","hourly","VPD",26,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178963,"2021-10-26 05:00:00","2000-10-30 05:00:00"
27,0.000695342440806268,0.000506641900064111,0.00392186543157891,0.0030283601782142,0.00426511441815138,0.00368796863931735,1.95086225181294,1.23512700274129,0.317527300664187,0.245186136445316,TRUE,TRUE,"US-Var","hourly","VPD",27,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178888,"2021-10-26 05:00:00","2000-10-30 06:00:00"
28,0.000891379760063149,0.000506641900064111,0.00432235778685275,0.0030283601782142,0.00452550661534503,0.00368796863931735,1.95102241742047,1.23590247161492,0.349732918747612,0.245032294033454,TRUE,TRUE,"US-Var","hourly","VPD",28,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178819,"2021-10-26 05:00:00","2000-10-30 18:00:00"
29,0.00162282220609189,0.000506641900064111,0.004800505496247,0.0030283601782142,0.00494320904309999,0.00368796863931735,1.95121701096224,1.23669343622719,0.388172634836004,0.24487557623439,TRUE,TRUE,"US-Var","hourly","VPD",29,"hours","2000-10-29 02:00:00","2021-10-26 05:00:00",184012,180225,178765,"2021-10-26 05:00:00","2000-10-30 11:00:00"
