"Lag","MI","MIcrit","TE","TEcrit","Corr","Corrcrit","Hx","Hy","TEnorm","TEnormcrit","TE_significant","MI_significant","Site_ID","scale","driver","Lag_time","Lag_unit","record_start","record_end","n_grid","n_joint","n_valid_triplets","target_end","target_start"
14,0.0935130902761623,0.0866879816517589,0.233017938628556,0.361550820080295,-0.0501029327384076,0.0531961932954779,2.69683823334207,2.55422972591216,9.12282619940698,14.1549844327796,FALSE,TRUE,"US-Var","weekly","VPD",14,"weeks","2000-10-30","2021-10-18",1095,1072,1027,"2021-10-18","2001-02-12"
15,0.106817608745148,0.0866879816517589,0.225859795938483,0.361550820080295,-0.0594601744551119,0.0531961932954779,2.69571591047886,2.56161712431959,8.81707862561526,14.1141631451394,FALSE,TRUE,"US-Var","weekly","VPD",15,"weeks","2000-10-30","2021-10-18",1095,1072,1025,"2021-10-18","2001-03-05"
16,0.10832981838325,0.0866879816517589,0.229379894586708,0.361550820080295,-0.0274346373876302,0.0531961932954779,2.69146270006718,2.55626394691735,8.97324765164891,14.143720194321,FALSE,TRUE,"US-Var","weekly","VPD",16,"weeks","2000-10-30","2021-10-18",1095,1072,1026,"2021-10-18","2001-03-05"
17,0.0932839064865387,0.0866879816517589,0.234809247922715,0.361550820080295,-0.0406067860007007,0.0531961932954779,2.69599573566458,2.55357999596644,9.19529634057333,14.1585860106748,FALSE,TRUE,"US-Var","weekly","VPD",17,"weeks","2000-10-30","2021-10-18",1095,1072,1026,"2021-10-18","2001-03-05"
18,0.105383090053184,0.0866879816517589,0.267645526440732,0.361550820080295,-0.0584084869377616,0.0531961932954779,2.69527842419527,2.55663238969086,10.4686746330823,14.1416819069562,FALSE,TRUE,"US-Var","weekly","VPD",18,"weeks","2000-10-30","2021-10-18",1095,1072,1026,"2021-10-18","2001-03-12"
19,0.10323554316305,0.0866879816517589,0.259017567505936,0.361550820080295,-0.0738266629604016,0.0531961932954779,2.68873545409237,2.56382993580806,10.1027593089672,14.101981376793,FALSE,TRUE,"US-Var","weekly","VPD",19,"weeks","2000-10-30","2021-10-18",1095,1072,1026,"2021-10-18","2001-03-19"
20,0.0905380963005511,0.0866879816517589,0.241414872072813,0.361550820080295,-0.0377278729363775,0.0531961932954779,2.69386817956562,2.56863415328027,9.39856973265399,14.0756058864427,FALSE,TRUE,"US-Var","weekly","VPD",20,"weeks","2000-10-30","2021-10-18",1095,1072,1025,"2021-10-18","2001-03-26"
21,0.0760093306999012,0.0866879816517589,0.239146924201257,0.361550820080295,-0.00195015087348407,0.0531961932954779,2.69384584663304,2.57354646284848,9.29250462945059,14.0487387851595,FALSE,FALSE,"US-Var","weekly","VPD",21,"weeks","2000-10-30","2021-10-18",1095,1072,1024,"2021-10-18","2001-04-02"
22,0.0844788298243708,0.0866879816517589,0.263508504724358,0.361550820080295,0.0117626354444501,0.0531961932954779,2.69380346423924,2.57027481158825,10.2521529424135,14.0666211430085,FALSE,FALSE,"US-Var","weekly","VPD",22,"weeks","2000-10-30","2021-10-18",1095,1072,1023,"2021-10-18","2001-04-09"
23,0.0821362616088859,0.0866879816517589,0.252974464075858,0.361550820080295,0.0202799338746417,0.0531961932954779,2.69265175638553,2.56974116657088,9.8443558194397,14.0695422863446,FALSE,FALSE,"US-Var","weekly","VPD",23,"weeks","2000-10-30","2021-10-18",1095,1072,1021,"2021-10-18","2001-04-16"
